time,gFx,gFy,gFz,TgF
1.665386926,0.1627,0.8894,0.4469,1.009
1.671411874,0.1546,0.8909,0.464,1.016
1.685381405,0.1512,0.8887,0.4733,1.018
1.695471301,0.158,0.8914,0.4762,1.023
1.701791457,0.1615,0.8916,0.4752,1.023
1.709738384,0.1678,0.8904,0.4635,1.018
1.71484953,0.1688,0.8901,0.4606,1.016
1.720145676,0.1715,0.8877,0.4557,1.012
1.731771093,0.17,0.8884,0.4486,1.01
1.739949843,0.1629,0.8877,0.4395,1.004
1.749284009,0.16,0.8872,0.4327,1
1.754362603,0.159,0.8882,0.4332,1.001
1.759628228,0.1597,0.8906,0.4327,1.003
1.771618905,0.1571,0.8894,0.4442,1.006
1.78705177,0.1541,0.8906,0.4596,1.014
1.795300103,0.1624,0.8899,0.4799,1.024
1.803728697,0.1646,0.8906,0.4831,1.026
1.809410468,0.1595,0.8914,0.4713,1.021
1.81555828,0.1588,0.8865,0.4671,1.015
1.824907655,0.1563,0.8889,0.4557,1.011
1.834270676,0.1585,0.885,0.4452,1.003
1.843591874,0.1583,0.8875,0.4381,1.002
1.849501926,0.159,0.8889,0.4407,1.005
1.85905828,0.1654,0.8872,0.4393,1.004
1.864436978,0.1644,0.8867,0.4432,1.005
1.873736093,0.1629,0.8899,0.4476,1.009
1.879099895,0.1624,0.8887,0.4488,1.009
1.884732499,0.1617,0.8892,0.4488,1.009
1.893790832,0.1627,0.8877,0.4584,1.012
1.899187968,0.1649,0.8865,0.4623,1.013
1.908145728,0.1617,0.8916,0.4693,1.02
1.914359895,0.1634,0.8892,0.4667,1.017
1.923561145,0.1605,0.8923,0.4657,1.019
1.928512239,0.1629,0.8894,0.4637,1.016
1.933708384,0.1627,0.8882,0.4606,1.014
1.939265884,0.1595,0.8872,0.4581,1.011
1.949134791,0.1602,0.8877,0.4559,1.011
1.958763124,0.1637,0.8872,0.4515,1.009
1.965245624,0.1634,0.8889,0.4503,1.01
1.973921301,0.1671,0.8889,0.452,1.011
1.986094738,0.1693,0.8872,0.4564,1.012
1.993870728,0.1656,0.8909,0.4535,1.013
2.00055177,0.1617,0.8921,0.4542,1.014
