time,gFx,gFy,gFz,TgF
3.20455276,-0.4384,0.3798,0.7512,0.949
3.212292239,-0.4284,0.4069,0.7549,0.959
3.217752655,-0.4183,0.4162,0.7634,0.965
3.228188541,-0.3854,0.4052,0.8157,0.989
3.234321249,-0.3717,0.3898,0.8446,1.002
3.242685468,-0.3585,0.3712,0.9015,1.039
3.254443958,-0.3526,0.3585,0.9438,1.069
3.262747135,-0.3409,0.3465,0.9678,1.083
3.26832776,-0.3301,0.3392,0.9663,1.076
3.277691614,-0.311,0.3287,0.9516,1.054
3.285068437,-0.3086,0.3275,0.9499,1.051
3.29264328,-0.29,0.3199,0.9441,1.038
3.301913072,-0.2844,0.3172,0.9094,1.004
3.307522708,-0.2822,0.3184,0.8878,0.985
3.318456978,-0.2944,0.325,0.8409,0.948
3.327156978,-0.311,0.3279,0.7849,0.906
3.334207447,-0.3147,0.3223,0.7551,0.879
3.341881614,-0.3149,0.3145,0.6994,0.829
3.354579895,-0.3008,0.324,0.674,0.806
3.362399478,-0.2839,0.3316,0.672,0.801
3.37186953,-0.2834,0.3255,0.6708,0.798
3.377035103,-0.2898,0.3098,0.6505,0.777
3.384015207,-0.2802,0.3101,0.6419,0.766
3.39167052,-0.2614,0.3392,0.6173,0.751
3.405172343,-0.2514,0.3639,0.5904,0.738
3.411418385,-0.2431,0.3724,0.5688,0.722
3.416968489,-0.2372,0.3749,0.564,0.718
3.426944114,-0.2326,0.3871,0.5791,0.734
3.43406328,-0.2323,0.3886,0.5855,0.74
3.441226405,-0.2267,0.3954,0.5918,0.747
3.446297187,-0.2206,0.3991,0.593,0.748
3.454776874,-0.2187,0.4027,0.5869,0.745
3.461917239,-0.2123,0.4113,0.5857,0.747
3.467916926,-0.2069,0.4191,0.5901,0.753
3.476141718,-0.1852,0.4406,0.6077,0.773
3.486653697,-0.1617,0.4541,0.6478,0.807
3.496425572,-0.1375,0.4617,0.6798,0.833
3.506135312,-0.1341,0.4606,0.6989,0.848
3.516879582,-0.1546,0.4589,0.7197,0.867
3.525945624,-0.1959,0.4445,0.7312,0.878
3.536621822,-0.2375,0.4228,0.7368,0.882
3.545994166,-0.2629,0.4174,0.7617,0.907
3.553868437,-0.2741,0.4218,0.7724,0.922
3.560609999,-0.2883,0.4379,0.783,0.942
3.567067499,-0.2898,0.4418,0.7849,0.946
3.575225624,-0.2944,0.4494,0.773,0.941
3.585872603,-0.2947,0.4599,0.7519,0.929
3.595391197,-0.3071,0.4648,0.7329,0.921
3.600810416,-0.3179,0.4717,0.738,0.932
3.60984203,-0.345,0.4682,0.7485,0.948
