time,gFx,gFy,gFz,TgF
3.147525155,0.044,0.3989,0.9264,1.01
3.155381405,0.044,0.3984,0.9245,1.008
3.163480676,0.0464,0.396,0.9269,1.009
3.168272083,0.0479,0.3979,0.9249,1.008
3.184304478,0.0493,0.3984,0.9293,1.012
3.194457968,0.0582,0.3979,0.9293,1.013
3.198389843,0.0626,0.3984,0.9259,1.01
3.208885312,0.0641,0.3984,0.9254,1.01
3.211333176,0.0724,0.3989,0.922,1.007
3.213807083,0.0738,0.4024,0.9196,1.006
3.215962551,0.0748,0.4019,0.9186,1.005
3.227513905,0.0738,0.4029,0.9186,1.006
3.229596041,0.0768,0.4019,0.9201,1.007
3.245116874,0.0758,0.4008,0.9205,1.007
3.247753437,0.0699,0.3984,0.9264,1.011
3.258659426,0.0704,0.3974,0.9264,1.011
3.262010937,0.067,0.3989,0.9191,1.004
3.264836041,0.0631,0.3984,0.9132,0.998
3.283641197,0.0641,0.3984,0.9078,0.993
3.292943749,0.069,0.4092,0.903,0.994
3.295421145,0.0738,0.3984,0.8888,0.977
3.310472291,0.0709,0.3994,0.8844,0.973
3.31295526,0.0592,0.4087,0.8844,0.976
3.325666718,0.0606,0.4087,0.8883,0.98
3.328831405,0.0631,0.4053,0.9005,0.99
3.331128176,0.0631,0.4073,0.903,0.993
3.346116405,0.0636,0.4048,0.9054,0.994
3.348589374,0.0592,0.4053,0.924,1.011
3.361327395,0.0582,0.4033,0.9259,1.012
3.36411776,0.0542,0.4043,0.9337,1.019
3.38737703,0.0537,0.4038,0.9352,1.02
3.396257291,0.0503,0.4019,0.9372,1.021
3.412082447,0.0542,0.3999,0.9352,1.019
3.414472239,0.0557,0.4024,0.9298,1.015
3.424785103,0.0547,0.4008,0.9264,1.011
3.427918957,0.0533,0.3999,0.9191,1.004
3.430391926,0.0523,0.4014,0.9171,1.002
3.445128853,0.0533,0.4008,0.9147,1
3.447389218,0.0474,0.4038,0.9152,1.001
3.461001926,0.0464,0.4033,0.9122,0.999
3.463347135,0.0493,0.4058,0.9142,1.001
3.465350937,0.0508,0.4082,0.9142,1.002
3.482043541,0.0513,0.4077,0.9137,1.002
3.485913593,0.0626,0.4068,0.9181,1.006
3.488561041,0.0641,0.4082,0.9201,1.009
3.491481041,0.0641,0.4092,0.9186,1.008
3.49440927,0.0655,0.4097,0.922,1.011
3.497919166,0.0646,0.4092,0.923,1.012
3.504178593,0.0636,0.4102,0.9215,1.011
3.508176978,0.0641,0.4087,0.9249,1.013
3.511214582,0.0602,0.4073,0.9279,1.015
3.514586145,0.0611,0.4077,0.9279,1.015
3.518841978,0.0597,0.4068,0.9284,1.015
3.522465103,0.0592,0.4082,0.9284,1.016
3.524993593,0.0597,0.4073,0.9293,1.016
3.527966457,0.0597,0.4073,0.9289,1.016
3.531837447,0.0597,0.4087,0.9293,1.017
3.535723124,0.0592,0.4082,0.9279,1.015
3.54011052,0.065,0.4092,0.923,1.012
3.543278228,0.065,0.4097,0.922,1.011
3.546387082,0.066,0.4107,0.922,1.011
3.548788332,0.0685,0.4112,0.921,1.011
3.554863645,0.0685,0.4117,0.9176,1.008
3.571866718,0.069,0.4112,0.9191,1.009
3.574598541,0.0743,0.4112,0.9132,1.004
3.577565624,0.0743,0.4131,0.9122,1.004
3.580795207,0.0724,0.4126,0.9113,1.003
3.58454052,0.0738,0.4126,0.9103,1.002
3.589414322,0.0719,0.4146,0.9093,1.002
3.592584687,0.0719,0.4126,0.9093,1.001
3.595248801,0.0729,0.4121,0.9088,1.001
3.597099739,0.0719,0.4112,0.9093,1.001
3.601533645,0.0714,0.4121,0.9083,1
3.603976874,0.0709,0.4112,0.9088,1
3.607040364,0.0724,0.4121,0.9098,1.001
3.610542707,0.0714,0.4121,0.9113,1.003
3.612603489,0.0738,0.4146,0.9098,1.003
3.617652447,0.0743,0.4146,0.9103,1.003
3.621450051,0.0763,0.4141,0.9093,1.002
3.625196562,0.0753,0.4136,0.9098,1.002
3.628653645,0.0763,0.4117,0.9093,1.001
3.63105802,0.0743,0.4136,0.9103,1.003
3.633341041,0.0729,0.4107,0.9103,1.001
3.636927082,0.0738,0.4131,0.9113,1.003
